cbsa_cd,cbsa_abbr,cbsa_name
11940,ATN,"Athens, TN Micropolitan SA"
11900,ATO,"Athens, OH Micropolitan SA"
11980,ATT,"Athens, TX Micropolitan SA"
12140,AUB,"Auburn, IN Micropolitan SA"
12180,AUN,"Auburn, NY Micropolitan SA"
12380,AUT,"Austin, MN Micropolitan SA"
12300,AUW,"Augusta-Waterville, ME Micropolitan SA"
10820,AXN,"Alexandria, MN Micropolitan SA"
12740,BAR,"Barre, VT Micropolitan SA"
12900,BAT,"Batesville, AR Micropolitan SA"
12780,BAV,"Bartlesville, OK Micropolitan SA"
12460,BBG,"Bainbridge, GA Micropolitan SA"
12660,BBO,"Baraboo, WI Micropolitan SA"
12680,BDW,"Bardstown, KY Micropolitan SA"
13100,BEA,"Beatrice, NE Micropolitan SA"
13260,BED,"Bedford, IN Micropolitan SA"
13300,BEE,"Beeville, TX Micropolitan SA"
13420,BEJ,"Bemidji, MN Micropolitan SA"
13340,BEL,"Bellefontaine, OH Micropolitan SA"
13540,BEN,"Bennington, VT Micropolitan SA"
13620,BER,"Berlin, NH-VT Micropolitan SA"
13660,BGR,"Big Rapids, MI Micropolitan SA"
13700,BGS,"Big Spring, TX Micropolitan SA"
13720,BIS,"Big Stone Gap, VA Micropolitan SA"
15060,BKO,"Brookings, OR Micropolitan SA"
15100,BKS,"Brookings, SD Micropolitan SA"
13940,BLK,"Blackfoot, ID Micropolitan SA"
14140,BLU,"Bluefield, WV-VA Micropolitan SA"
14180,BLY,"Blytheville, AR Micropolitan SA"
13500,BNT,"Bennettsville, SC Micropolitan SA"
14220,BOG,"Bogalusa, LA Micropolitan SA"
14380,BON,"Boone, NC Micropolitan SA"
14340,BOO,"Boone, IA Micropolitan SA"
14420,BOR,"Borger, TX Micropolitan SA"
14580,BOZ,"Bozeman, MT Micropolitan SA"
14660,BRA,"Brainerd, MN Micropolitan SA"
14620,BRD,"Bradford, PA Micropolitan SA"
14720,BRE,"Breckenridge, CO Micropolitan SA"
14780,BRH,"Brenham, TX Micropolitan SA"
15020,BRK,"Brookhaven, MS Micropolitan SA"
14700,BRS,"Branson, MO Micropolitan SA"
14820,BRV,"Brevard, NC Micropolitan SA"
12820,BST,"Bastrop, LA Micropolitan SA"
12860,BTV,"Batavia, NY Micropolitan SA"
15340,BUC,"Bucyrus, OH Micropolitan SA"
15460,BUI,"Burlington, IA-IL Micropolitan SA"
15580,BUT,"Butte-Silver Bow, MT Micropolitan SA"
15420,BUY,"Burley, ID Micropolitan SA"
13180,BVD,"Beaver Dam, WI Micropolitan SA"
15220,BWW,"Brownwood, TX Micropolitan SA"
13060,BYC,"Bay City, TX Micropolitan SA"
15620,CAD,"Cadillac, MI Micropolitan SA"
15660,CAL,"Calhoun, GA Micropolitan SA"
15700,CAM,"Cambridge, MD Micropolitan SA"
16100,CBD,"Carlsbad-Artesia, NM Micropolitan SA"
16260,CDC,"Cedar City, UT Micropolitan SA"
16340,CDT,"Cedartown, GA Micropolitan SA"
16460,CEI,"Centralia, IL Micropolitan SA"
16380,CEL,"Celina, OH Micropolitan SA"
16500,CEW,"Centralia, WA Micropolitan SA"
17220,CKB,"Clarksburg, WV Micropolitan SA"
17260,CKD,"Clarksdale, MS Micropolitan SA"
18260,CKV,"Cookeville, TN Micropolitan SA"
17060,CLC,"Chillicothe, OH Micropolitan SA"
17380,CLE,"Cleveland, MS Micropolitan SA"
17540,CLI,"Clinton, IA Micropolitan SA"
17340,CLK,"Clearlake, CA Micropolitan SA"
17580,CLO,"Clovis, NM Micropolitan SA"
17200,CLT,"Claremont-Lebanon, NH-VT Micropolitan SA"
17500,CLW,"Clewiston, FL Micropolitan SA"
15780,CMD,"Camden, AR Micropolitan SA"
15740,CMO,"Cambridge, OH Micropolitan SA"
15820,CMP,"Campbellsville, KY Micropolitan SA"
16660,CMT,"Charleston-Mattoon, IL Micropolitan SA"
15860,CNC,"Canon City, CO Micropolitan SA"
18460,CNE,"Cornelia, GA Micropolitan SA"
18220,CNN,"Connersville, IN Micropolitan SA"
15900,CNT,"Canton, IL Micropolitan SA"
17620,COA,"Coamo, PR Micropolitan SA"
18100,COB,"Columbus, NE Micropolitan SA"
17640,COC,"Coco, PR Micropolitan SA"
17700,COF,"Coffeyville, KS Micropolitan SA"
18060,COM,"Columbus, MS Micropolitan SA"
18180,CON,"Concord, NH Micropolitan SA"
